participant_id,app_version,date,sessions_count,total_time_minutes,foods_logged,breakfast_logged,lunch_logged,dinner_logged,snacks_logged,goal_meals_complete,goal_protein_complete,goal_calories_complete,points_earned,progress_visited,streak_eod
Jonathan,control,2026-06-26,1,5.6,1,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jonathan,control,2026-06-27,1,6.0,2,TRUE,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Jonathan,control,2026-06-28,2,8.5,2,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Jason,control,2026-06-19,1,5.2,4,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Jason,control,2026-06-20,1,6.5,1,FALSE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jason,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jason,control,2026-06-22,1,6.6,1,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jason,control,2026-06-23,1,6.5,4,TRUE,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Jason,control,2026-06-24,1,6.5,2,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Jason,control,2026-06-25,1,5.9,3,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jason,control,2026-06-26,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jason,control,2026-06-27,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jason,control,2026-06-28,1,1.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-19,1,0.7,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Shabaka,control,2026-06-20,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-22,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-23,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-24,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-25,1,4.0,3,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-26,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-27,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Shabaka,control,2026-06-28,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jahmani,control,2026-06-19,1,8.6,1,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jahmani,control,2026-06-20,1,5.8,3,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Jahmani,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jahmani,control,2026-06-22,1,6.1,1,FALSE,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Jahmani,control,2026-06-23,2,5.8,6,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jahmani,control,2026-06-24,1,7.0,3,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jahmani,control,2026-06-25,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jahmani,control,2026-06-26,1,5.3,2,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jahmani,control,2026-06-27,2,4.9,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jahmani,control,2026-06-28,1,7.1,1,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Romel,control,2026-06-19,1,7.2,3,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Romel,control,2026-06-20,1,6.3,2,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Romel,control,2026-06-21,1,8.5,2,TRUE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Romel,control,2026-06-22,1,7.5,4,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Romel,control,2026-06-23,2,7.6,3,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Romel,control,2026-06-24,1,6.3,6,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Romel,control,2026-06-25,2,6.1,3,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Romel,control,2026-06-26,1,7.0,6,TRUE,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Romel,control,2026-06-27,1,6.1,1,FALSE,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Romel,control,2026-06-28,1,7.1,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Alex,control,2026-06-19,2,7.5,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Alex,control,2026-06-20,1,7.8,3,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Alex,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Alex,control,2026-06-22,2,6.8,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Alex,control,2026-06-23,1,6.7,4,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Alex,control,2026-06-24,1,7.0,2,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Alex,control,2026-06-25,1,6.9,3,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Alex,control,2026-06-26,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Alex,control,2026-06-27,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Alex,control,2026-06-28,1,5.7,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Marie,control,2026-06-19,1,4.2,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Marie,control,2026-06-20,1,7.1,3,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Marie,control,2026-06-21,1,5.7,4,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Marie,control,2026-06-22,1,5.4,4,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Marie,control,2026-06-23,1,1.8,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Marie,control,2026-06-24,1,5.6,2,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Marie,control,2026-06-25,1,4.0,3,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Marie,control,2026-06-26,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Marie,control,2026-06-27,1,6.5,1,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Marie,control,2026-06-28,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Arvin,control,2026-06-19,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Arvin,control,2026-06-20,1,7.2,2,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Arvin,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Arvin,control,2026-06-22,1,6.7,2,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Arvin,control,2026-06-23,1,4.0,1,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Arvin,control,2026-06-24,1,6.2,4,FALSE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Arvin,control,2026-06-25,1,4.5,2,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Arvin,control,2026-06-26,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Arvin,control,2026-06-27,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Arvin,control,2026-06-28,1,4.2,3,FALSE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jorren,control,2026-06-19,1,6.2,2,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jorren,control,2026-06-20,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jorren,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jorren,control,2026-06-22,1,5.8,3,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jorren,control,2026-06-23,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jorren,control,2026-06-24,1,7.0,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jorren,control,2026-06-25,1,5.7,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jorren,control,2026-06-26,1,0.6,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jorren,control,2026-06-27,1,6.0,2,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jorren,control,2026-06-28,1,1.7,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Tariq,control,2026-06-19,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Tariq,control,2026-06-20,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Tariq,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Tariq,control,2026-06-22,1,5.0,2,TRUE,TRUE,FALSE,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A
Tariq,control,2026-06-23,1,5.5,1,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Tariq,control,2026-06-24,1,4.7,2,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Tariq,control,2026-06-25,1,4.6,2,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Tariq,control,2026-06-26,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Tariq,control,2026-06-27,1,5.6,1,FALSE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Tariq,control,2026-06-28,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-19,1,1.4,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-20,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-22,1,5.2,1,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Nadia,control,2026-06-23,1,5.9,2,TRUE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-24,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-25,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-26,1,6.9,2,FALSE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-27,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Nadia,control,2026-06-28,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Lajuan,control,2026-06-19,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Lajuan,control,2026-06-20,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Lajuan,control,2026-06-21,1,5.7,1,FALSE,TRUE,FALSE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Lajuan,control,2026-06-22,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Lajuan,control,2026-06-23,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Lajuan,control,2026-06-24,1,4.8,1,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Lajuan,control,2026-06-25,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Lajuan,control,2026-06-26,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Lajuan,control,2026-06-27,1,5.8,1,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Lajuan,control,2026-06-28,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Malec,control,2026-06-19,1,4.5,1,TRUE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Malec,control,2026-06-20,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Malec,control,2026-06-21,1,4.5,1,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Malec,control,2026-06-22,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Malec,control,2026-06-23,1,4.2,2,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Malec,control,2026-06-24,1,4.3,2,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Malec,control,2026-06-25,1,4.4,2,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Malec,control,2026-06-26,1,5.3,1,TRUE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Malec,control,2026-06-27,1,1.8,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Malec,control,2026-06-28,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-19,1,4.8,1,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-20,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-21,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-22,1,5.6,1,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-23,1,4.5,2,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-24,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-25,1,4.0,1,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-26,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Bernard,control,2026-06-27,1,4.6,2,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Bernard,control,2026-06-28,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
